Accession	Protein name	Molecular Weight	pacFA.hit
O09131	Glutathione S-transferase omega-1 OS=Mus musculus GN=Gsto1 PE=2 SV=2	27 kDa	0
O35316	Sodium- and chloride-dependent taurine transporter OS=Mus musculus GN=Slc6a6 PE=1 SV=2	70 kDa	0
O35345	Importin subunit alpha-7 OS=Mus musculus GN=Kpna6 PE=1 SV=2	60 kDa	0
O35639	Annexin A3 OS=Mus musculus GN=Anxa3 PE=1 SV=4	36 kDa	0
O35657	Sialidase-1 OS=Mus musculus GN=Neu1 PE=2 SV=1	45 kDa	0
O54692	Centromere/kinetochore protein zw10 homolog OS=Mus musculus GN=Zw10 PE=2 SV=3	88 kDa	0
O54784	Death-associated protein kinase 3 OS=Mus musculus GN=Dapk3 PE=1 SV=1	51 kDa	0
O54833	Casein kinase II subunit alpha' OS=Mus musculus GN=Csnk2a2 PE=2 SV=1	41 kDa	0
O88291	DBIRD complex subunit ZNF326 OS=Mus musculus GN=Znf326 PE=1 SV=1	65 kDa	0
O88342	WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3	66 kDa	0
O88477	Insulin-like growth factor 2 mRNA-binding protein 1 OS=Mus musculus GN=Igf2bp1 PE=1 SV=1	63 kDa	0
O88543	COP9 signalosome complex subunit 3 OS=Mus musculus GN=Cops3 PE=1 SV=3	48 kDa	0
O88712	C-terminal-binding protein 1 OS=Mus musculus GN=Ctbp1 PE=1 SV=2	48 kDa	0
O88824	Protein JTB OS=Mus musculus GN=Jtb PE=1 SV=1	16 kDa	0
O89079	Coatomer subunit epsilon OS=Mus musculus GN=Cope PE=2 SV=3	35 kDa	0
P05202	Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1	47 kDa	0
P05213	Tubulin alpha-1B chain OS=Mus musculus GN=Tuba1b PE=1 SV=2	50 kDa	0
P06797	Cathepsin L1 OS=Mus musculus GN=Ctsl1 PE=1 SV=2	38 kDa	0
P07091	Protein S100-A4 OS=Mus musculus GN=S100a4 PE=1 SV=1	12 kDa	0
P07309	Transthyretin OS=Mus musculus GN=Ttr PE=1 SV=1	16 kDa	0
P07607	Thymidylate synthase OS=Mus musculus GN=Tyms PE=1 SV=1	35 kDa	0
P10126	Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3	50 kDa	0
P10287	P10287-R	?	0
P10493	Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2	137 kDa	0
P11438	Lysosome-associated membrane glycoprotein 1 OS=Mus musculus GN=Lamp1 PE=1 SV=2	44 kDa	0
P11983	T-complex protein 1 subunit alpha OS=Mus musculus GN=Tcp1 PE=1 SV=3	60 kDa	0
P13020	Isoform 2 of Gelsolin OS=Mus musculus GN=Gsn	81 kDa	0
P15261	Interferon gamma receptor 1 OS=Mus musculus GN=Ifngr1 PE=1 SV=3	52 kDa	0
P16546	Spectrin alpha chain, brain OS=Mus musculus GN=Sptan1 PE=1 SV=4	285 kDa	0
P17751	Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4	32 kDa	0
P18760	Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3	19 kDa	0
P20108	Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus GN=Prdx3 PE=1 SV=1	28 kDa	0
P20664	DNA primase small subunit OS=Mus musculus GN=Prim1 PE=1 SV=1	49 kDa	0
P21995	Embigin OS=Mus musculus GN=Emb PE=1 SV=2	37 kDa	0
P24369	Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus GN=Ppib PE=2 SV=2	24 kDa	0
P30416	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus GN=Fkbp4 PE=1 SV=5	52 kDa	0
P32261	Antithrombin-III OS=Mus musculus GN=Serpinc1 PE=1 SV=1	52 kDa	0
P39688	Tyrosine-protein kinase Fyn OS=Mus musculus GN=Fyn PE=1 SV=3	61 kDa	0
P40124	Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4	52 kDa	0
P46460	Vesicle-fusing ATPase OS=Mus musculus GN=Nsf PE=1 SV=2	83 kDa	0
P46467	Vacuolar protein sorting-associated protein 4B OS=Mus musculus GN=Vps4b PE=1 SV=2	49 kDa	0
P50516	V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2	68 kDa	0
P52293	Importin subunit alpha-2 OS=Mus musculus GN=Kpna2 PE=1 SV=2	58 kDa	0
P52795	Ephrin-B1 OS=Mus musculus GN=Efnb1 PE=1 SV=1	38 kDa	0
P54103	DnaJ homolog subfamily C member 2 OS=Mus musculus GN=Dnajc2 PE=1 SV=2	72 kDa	0
P60843	Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=2 SV=1	46 kDa	0
P61079	Ubiquitin-conjugating enzyme E2 D3 OS=Mus musculus GN=Ube2d3 PE=1 SV=1	17 kDa	0
P61164	Alpha-centractin OS=Mus musculus GN=Actr1a PE=2 SV=1	43 kDa	0
P61924	Coatomer subunit zeta-1 OS=Mus musculus GN=Copz1 PE=2 SV=1	20 kDa	0
P61971	Nuclear transport factor 2 OS=Mus musculus GN=Nutf2 PE=2 SV=1	14 kDa	0
P62301	40S ribosomal protein S13 OS=Mus musculus GN=Rps13 PE=1 SV=2	17 kDa	0
P62320	Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus GN=Snrpd3 PE=1 SV=1	14 kDa	0
P62717	60S ribosomal protein L18a OS=Mus musculus GN=Rpl18a PE=1 SV=1	21 kDa	0
P62835	Ras-related protein Rap-1A OS=Mus musculus GN=Rap1a PE=2 SV=1	21 kDa	0
P62960	Nuclease-sensitive element-binding protein 1 OS=Mus musculus GN=Ybx1 PE=1 SV=3	36 kDa	0
P63017	Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1	71 kDa	0
P63028	Translationally-controlled tumor protein OS=Mus musculus GN=Tpt1 PE=1 SV=1	19 kDa	0
P70280	Vesicle-associated membrane protein 7 OS=Mus musculus GN=Vamp7 PE=2 SV=1	25 kDa	0
P83882	60S ribosomal protein L36a OS=Mus musculus GN=Rpl36a PE=3 SV=2	12 kDa	0
P97857	A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus GN=Adamts1 PE=1 SV=4	106 kDa	0
P97873	Lysyl oxidase homolog 1 OS=Mus musculus GN=Loxl1 PE=2 SV=3	67 kDa	0
Q08093	Calponin-2 OS=Mus musculus GN=Cnn2 PE=2 SV=1	33 kDa	0
Q14C24	MCG14259, isoform CRA_a OS=Mus musculus GN=U2af1 PE=2 SV=1	28 kDa	0
Q3TFP0	FUS interacting protein (Serine-arginine rich) 1 OS=Mus musculus GN=Srsf10 PE=2 SV=1	22 kDa	0
Q3TH73	Protein tweety homolog 2 OS=Mus musculus GN=Ttyh2 PE=2 SV=1	59 kDa	0
Q3TI14	28S ribosomal protein S23, mitochondrial OS=Mus musculus GN=Mrps23 PE=2 SV=1	18 kDa	0
Q3TL27	Xaa-Pro aminopeptidase 1 OS=Mus musculus GN=Xpnpep1 PE=2 SV=1	66 kDa	0
Q3TLR3	Tripartite motif protein 32, isoform CRA_b OS=Mus musculus GN=Trim32 PE=2 SV=1	72 kDa	0
Q3U4H0	Microtubule-associated protein, RP/EB family, member 1 OS=Mus musculus GN=Mapre1 PE=2 SV=1	30 kDa	0
Q3UDA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1, isoform CRA_b OS=Mus musculus GN=Smarcb1 PE=2 SV=1	43 kDa	0
Q3UDC9	Sodium/hydrogen exchanger OS=Mus musculus GN=Slc9a1 PE=2 SV=1	91 kDa	0
Q3UF75	Alpha-parvin OS=Mus musculus GN=Parva PE=2 SV=1	38 kDa	0
Q3UGB5	DAZ associated protein 1, isoform CRA_b OS=Mus musculus GN=Dazap1 PE=2 SV=1	43 kDa	0
Q3UH59	Myosin, heavy polypeptide 10, non-muscle OS=Mus musculus GN=Myh10 PE=2 SV=1	233 kDa	0
Q3UHD6	Sorting nexin-27 OS=Mus musculus GN=Snx27 PE=1 SV=2	61 kDa	0
Q3ULL5	Eif2s2 protein OS=Mus musculus GN=Eif2s2 PE=2 SV=1	38 kDa	0
Q4ADG5	Prp19 beta protein OS=Mus musculus GN=Prpf19 PE=2 SV=1	57 kDa	0
Q4FZK2	Eukaryotic translation elongation factor 1 gamma OS=Mus musculus GN=Eef1g PE=2 SV=1	50 kDa	0
Q4KL82	Replication factor C (Activator 1) 2 OS=Mus musculus GN=Rfc2 PE=2 SV=1	39 kDa	0
Q4VA29	MCG140066 OS=Mus musculus GN=2700060E02Rik PE=2 SV=1	28 kDa	0
Q4VAI2	Acid phosphatase 1, soluble OS=Mus musculus GN=Acp1 PE=2 SV=1	18 kDa	0
Q5EG47	5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Mus musculus GN=Prkaa1 PE=1 SV=2	64 kDa	0
Q5F1Z8	GM2 ganglioside activator protein OS=Mus musculus GN=Gm2a PE=2 SV=1	21 kDa	0
Q60848	Lymphocyte-specific helicase OS=Mus musculus GN=Hells PE=1 SV=2	95 kDa	0
Q61292	Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=2 SV=2	197 kDa	0
Q61468	Mesothelin OS=Mus musculus GN=Msln PE=1 SV=1	69 kDa	0
Q61739	Integrin alpha-6 OS=Mus musculus GN=Itga6 PE=1 SV=3	122 kDa	0
Q61753	D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3	57 kDa	0
Q62159	Rho-related GTP-binding protein RhoC OS=Mus musculus GN=Rhoc PE=1 SV=2	22 kDa	0
Q62356	Follistatin-related protein 1 OS=Mus musculus GN=Fstl1 PE=1 SV=2	35 kDa	0
Q62470	Integrin alpha-3 OS=Mus musculus GN=Itga3 PE=1 SV=1	117 kDa	0
Q640N1	Adipocyte enhancer-binding protein 1 OS=Mus musculus GN=Aebp1 PE=1 SV=1	128 kDa	0
Q64374	Regucalcin OS=Mus musculus GN=Rgn PE=1 SV=1	33 kDa	0
Q64514	Tripeptidyl-peptidase 2 OS=Mus musculus GN=Tpp2 PE=2 SV=3	140 kDa	0
Q64704	Isoform 3B of Syntaxin-3 OS=Mus musculus GN=Stx3	33 kDa	0
Q64727	Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4	117 kDa	0
Q6NZD2	Sorting nexin 1 OS=Mus musculus GN=Snx1 PE=2 SV=1	59 kDa	0
Q6P2B1	Transportin-3 OS=Mus musculus GN=Tnpo3 PE=1 SV=1	104 kDa	0
Q6P8N8	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus GN=Clpx PE=2 SV=1	67 kDa	0
Q6ZWU9	40S ribosomal protein S27 OS=Mus musculus GN=Rps27 PE=1 SV=3	9 kDa	0
Q76MZ3	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus GN=Ppp2r1a PE=1 SV=3	65 kDa	0
Q790I0	Valyl-tRNA synthetase 2, isoform CRA_b OS=Mus musculus GN=Vars PE=2 SV=1	140 kDa	0
Q7TMR0	Lysosomal Pro-X carboxypeptidase OS=Mus musculus GN=Prcp PE=2 SV=2	55 kDa	0
Q7TQH0	Isoform 2 of Ataxin-2-like protein OS=Mus musculus GN=Atxn2l	113 kDa	0
Q7TQH7	Low-density lipoprotein receptor-related protein 10 OS=Mus musculus GN=Lrp10 PE=2 SV=2	76 kDa	0
Q8BFZ3	Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1	42 kDa	0
Q8BJW6	Eukaryotic translation initiation factor 2A OS=Mus musculus GN=Eif2a PE=2 SV=2	64 kDa	0
Q8BK67	Protein RCC2 OS=Mus musculus GN=Rcc2 PE=2 SV=1	56 kDa	0
Q8BP92	Reticulocalbin-2 OS=Mus musculus GN=Rcn2 PE=2 SV=1	37 kDa	0
Q8BTV2	Cleavage and polyadenylation specificity factor subunit 7 OS=Mus musculus GN=Cpsf7 PE=1 SV=2	52 kDa	0
Q8BVU5	ADP-ribose pyrophosphatase, mitochondrial OS=Mus musculus GN=Nudt9 PE=2 SV=1	39 kDa	0
Q8C5Q4	G-rich sequence factor 1 OS=Mus musculus GN=Grsf1 PE=1 SV=2	53 kDa	0
Q8C788	Sorting nexin 18 OS=Mus musculus GN=Snx18 PE=2 SV=1	68 kDa	0
Q8CFI7	DNA-directed RNA polymerase II subunit RPB2 OS=Mus musculus GN=Polr2b PE=2 SV=2	134 kDa	0
Q8CGC6	RNA-binding protein 28 OS=Mus musculus GN=Rbm28 PE=1 SV=4	84 kDa	0
Q8CJ53	Cdc42-interacting protein 4 OS=Mus musculus GN=Trip10 PE=1 SV=2	68 kDa	0
Q8CJ61	CKLF-like MARVEL transmembrane domain-containing protein 4 OS=Mus musculus GN=Cmtm4 PE=2 SV=1	23 kDa	0
Q8K124	Pleckstrin homology domain-containing family O member 2 OS=Mus musculus GN=Plekho2 PE=1 SV=1	54 kDa	0
Q8K135	Dyslexia-associated protein KIAA0319-like protein OS=Mus musculus GN=Kiaa0319l PE=1 SV=1	115 kDa	0
Q8R010	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Mus musculus GN=Aimp2 PE=1 SV=2	35 kDa	0
Q8R0W6	NEDD4 family-interacting protein 1 OS=Mus musculus GN=Ndfip1 PE=1 SV=1	25 kDa	0
Q8R480	Nuclear pore complex protein Nup85 OS=Mus musculus GN=Nup85 PE=1 SV=1	75 kDa	0
Q8R5L1	Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Mus musculus GN=C1qbp PE=2 SV=1	31 kDa	0
Q8VD75	Huntingtin-interacting protein 1 OS=Mus musculus GN=Hip1 PE=1 SV=2	115 kDa	0
Q8VDD5	Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4	226 kDa	0
Q8VDD8	WAS protein family homolog 1 OS=Mus musculus GN=Wash1 PE=2 SV=1	52 kDa	0
Q91V89	Protein Ppp2r5d OS=Mus musculus GN=Ppp2r5d PE=2 SV=1	69 kDa	0
Q91VN6	Probable ATP-dependent RNA helicase DDX41 OS=Mus musculus GN=Ddx41 PE=1 SV=2	70 kDa	0
Q91VW3	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Mus musculus GN=Sh3bgrl3 PE=1 SV=1	10 kDa	0
Q91W53	Golgin subfamily A member 7 OS=Mus musculus GN=Golga7 PE=2 SV=1	16 kDa	0
Q91W92	Cdc42 effector protein 1 OS=Mus musculus GN=Cdc42ep1 PE=1 SV=1	43 kDa	0
Q91Y74	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 OS=Mus musculus GN=St3gal4 PE=2 SV=1	38 kDa	0
Q91YJ2	Sorting nexin-4 OS=Mus musculus GN=Snx4 PE=2 SV=1	52 kDa	0
Q91ZV3	Discoidin, CUB and LCCL domain-containing protein 2 OS=Mus musculus GN=Dcbld2 PE=2 SV=1	84 kDa	0
Q921M7	Protein FAM49B OS=Mus musculus GN=Fam49b PE=2 SV=1	37 kDa	0
Q921N6	Probable ATP-dependent RNA helicase DDX27 OS=Mus musculus GN=Ddx27 PE=1 SV=3	86 kDa	0
Q922R8	Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3	48 kDa	0
Q93092	Transaldolase OS=Mus musculus GN=Taldo1 PE=1 SV=2	37 kDa	0
Q99246	Q99246-4-R	?	0
Q99JI4	26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus GN=Psmd6 PE=2 SV=1	46 kDa	0
Q99KK7	Dipeptidyl peptidase 3 OS=Mus musculus GN=Dpp3 PE=2 SV=2	83 kDa	0
Q99LP6	GrpE protein homolog 1, mitochondrial OS=Mus musculus GN=Grpel1 PE=1 SV=1	24 kDa	0
Q99M71	Mammalian ependymin-related protein 1 OS=Mus musculus GN=Epdr1 PE=2 SV=1	25 kDa	0
Q9CPW4	Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3	16 kDa	0
Q9CQJ4	E3 ubiquitin-protein ligase RING2 OS=Mus musculus GN=Rnf2 PE=1 SV=1	38 kDa	0
Q9CQM9	Glutaredoxin-3 OS=Mus musculus GN=Glrx3 PE=1 SV=1	38 kDa	0
Q9CQS2	H/ACA ribonucleoprotein complex subunit 3 OS=Mus musculus GN=Nop10 PE=2 SV=1	8 kDa	0
Q9CQW2	ADP-ribosylation factor-like protein 8B OS=Mus musculus GN=Arl8b PE=2 SV=1	22 kDa	0
Q9CQW9	Interferon-induced transmembrane protein 3 OS=Mus musculus GN=Ifitm3 PE=1 SV=1	15 kDa	0
Q9CWW6	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Mus musculus GN=Pin4 PE=2 SV=1	14 kDa	0
Q9CX34	Suppressor of G2 allele of SKP1 homolog OS=Mus musculus GN=Sugt1 PE=2 SV=3	38 kDa	0
Q9CX56	26S proteasome non-ATPase regulatory subunit 8 OS=Mus musculus GN=Psmd8 PE=2 SV=2	40 kDa	0
Q9CXT7	Transmembrane protein 192 OS=Mus musculus GN=Tmem192 PE=1 SV=1	30 kDa	0
Q9CXW2	28S ribosomal protein S22, mitochondrial OS=Mus musculus GN=Mrps22 PE=2 SV=1	41 kDa	0
Q9CYG7	Mitochondrial import receptor subunit TOM34 OS=Mus musculus GN=Tomm34 PE=2 SV=1	34 kDa	0
Q9CZ30	Obg-like ATPase 1 OS=Mus musculus GN=Ola1 PE=1 SV=1	45 kDa	0
Q9CZD3	Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1	82 kDa	0
Q9CZR8	Elongation factor Ts, mitochondrial OS=Mus musculus GN=Tsfm PE=2 SV=1	35 kDa	0
Q9D074	E3 ubiquitin-protein ligase MGRN1 OS=Mus musculus GN=Mgrn1 PE=1 SV=2	58 kDa	0
Q9D2R0	Acetoacetyl-CoA synthetase OS=Mus musculus GN=Aacs PE=1 SV=1	75 kDa	0
Q9D8B3	Charged multivesicular body protein 4b OS=Mus musculus GN=Chmp4b PE=2 SV=2	25 kDa	0
Q9DAW9	Calponin-3 OS=Mus musculus GN=Cnn3 PE=2 SV=1	36 kDa	0
Q9DB05	Alpha-soluble NSF attachment protein OS=Mus musculus GN=Napa PE=1 SV=1	33 kDa	0
Q9DB96	Neuroguidin OS=Mus musculus GN=Ngdn PE=1 SV=1	36 kDa	0
Q9DBF1	Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus GN=Aldh7a1 PE=1 SV=4	59 kDa	0
Q9DBR7	Protein phosphatase 1 regulatory subunit 12A OS=Mus musculus GN=Ppp1r12a PE=1 SV=2	115 kDa	0
Q9DBZ5	Eukaryotic translation initiation factor 3 subunit K OS=Mus musculus GN=Eif3k PE=1 SV=1	25 kDa	0
Q9DCU6	39S ribosomal protein L4, mitochondrial OS=Mus musculus GN=Mrpl4 PE=2 SV=1	33 kDa	0
Q9EQG7	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 OS=Mus musculus GN=Enpp5 PE=2 SV=3	54 kDa	0
Q9EQJ0	Two pore calcium channel protein 1 OS=Mus musculus GN=Tpcn1 PE=2 SV=1	94 kDa	0
Q9ET30	Transmembrane 9 superfamily member 3 OS=Mus musculus GN=Tm9sf3 PE=1 SV=1	68 kDa	0
Q9JIH2	Nuclear pore complex protein Nup50 OS=Mus musculus GN=Nup50 PE=1 SV=3	49 kDa	0
Q9JJ28	Protein flightless-1 homolog OS=Mus musculus GN=Flii PE=1 SV=1	145 kDa	0
Q9JK81	UPF0160 protein MYG1, mitochondrial OS=Mus musculus GN=Myg1 PE=2 SV=1	43 kDa	0
Q9JKB1	Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Mus musculus GN=Uchl3 PE=1 SV=2	26 kDa	0
Q9JKY0	Cell differentiation protein RCD1 homolog OS=Mus musculus GN=Rqcd1 PE=1 SV=1	34 kDa	0
Q9JLL0	Cysteine-rich motor neuron 1 protein OS=Mus musculus GN=Crim1 PE=2 SV=2	114 kDa	0
Q9JMC3	DnaJ homolog subfamily A member 4 OS=Mus musculus GN=Dnaja4 PE=2 SV=1	45 kDa	0
Q9QXB9	Developmentally-regulated GTP-binding protein 2 OS=Mus musculus GN=Drg2 PE=1 SV=1	41 kDa	0
Q9QYJ0	DnaJ homolog subfamily A member 2 OS=Mus musculus GN=Dnaja2 PE=1 SV=1	46 kDa	0
Q9QZM4	Tumor necrosis factor receptor superfamily member 10B OS=Mus musculus GN=Tnfrsf10b PE=2 SV=3	42 kDa	0
Q9QZZ4	Q9QZZ4-3-R	?	0
Q9R0E1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Mus musculus GN=Plod3 PE=1 SV=1	85 kDa	0
Q9R1Q6	Transmembrane protein 176B OS=Mus musculus GN=Tmem176b PE=1 SV=1	28 kDa	0
Q9WVF7	Q9WVF7-R	?	0
A2A4H2	ATP citrate lyase OS=Mus musculus GN=Acly PE=4 SV=1	120 kDa	0
A2AL38	Stomatin OS=Mus musculus GN=Stom PE=4 SV=1	31 kDa	0
B1AWD5	GLI pathogenesis-related 2 OS=Mus musculus GN=Glipr2 PE=4 SV=1	17 kDa	0
D3YU49	Protein Gm8994 OS=Mus musculus GN=Gm8994 PE=3 SV=1	47 kDa	0
E9PV46	Protein Gm8841 OS=Mus musculus GN=Gm8841 PE=3 SV=1	31 kDa	0
E9Q7G0	Protein Numa1 OS=Mus musculus GN=Numa1 PE=4 SV=1	236 kDa	0
E9QNN1	ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9 PE=4 SV=1	150 kDa	0
F8VPU2	Protein Farp1 OS=Mus musculus GN=Farp1 PE=4 SV=1	119 kDa	0
F8WGD1	Ran GTPase-activating protein 1 OS=Mus musculus GN=Rangap1 PE=4 SV=1	69 kDa	0
O89001	Carboxypeptidase D OS=Mus musculus GN=Cpd PE=1 SV=2	152 kDa	0
P17809	Solute carrier family 2, facilitated glucose transporter member 1 OS=Mus musculus GN=Slc2a1 PE=1 SV=4	54 kDa	0
P47738	Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1	57 kDa	0
P53986	Monocarboxylate transporter 1 OS=Mus musculus GN=Slc16a1 PE=1 SV=1	53 kDa	0
Q3TMZ1	Pyrroline-5-carboxylate reductase OS=Mus musculus GN=Pycr2 PE=2 SV=1	34 kDa	0
Q3U962	Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1	145 kDa	0
Q6ZWX6	Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus GN=Eif2s1 PE=1 SV=3	36 kDa	0
Q8BP47	Asparagine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Nars PE=1 SV=2	64 kDa	0
Q9JJ00	Phospholipid scramblase 1 OS=Mus musculus GN=Plscr1 PE=2 SV=1	36 kDa	0
D3Z0S1	Annexin (Fragment) OS=Mus musculus GN=Anxa4 PE=3 SV=1	29 kDa	0
O89051	Integral membrane protein 2B OS=Mus musculus GN=Itm2b PE=2 SV=1	30 kDa	0
P21278	Guanine nucleotide-binding protein subunit alpha-11 OS=Mus musculus GN=Gna11 PE=1 SV=1	42 kDa	0
Q8BGT1	Fibronectin leucine rich transmembrane protein 3 OS=Mus musculus GN=Flrt3 PE=2 SV=1	73 kDa	0
Q8R2Q8	Bone marrow stromal antigen 2 OS=Mus musculus GN=Bst2 PE=1 SV=1	19 kDa	0
Q9WTP6	Adenylate kinase 2, mitochondrial OS=Mus musculus GN=Ak2 PE=1 SV=5	26 kDa	0
A2A6G9	LIM and SH3 domain protein 1 (Fragment) OS=Mus musculus GN=Lasp1 PE=4 SV=1	15 kDa	1
A2A7Z0	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 OS=Mus musculus GN=Plod1 PE=4 SV=1	84 kDa	1
A2A882	Proteasome subunit beta type OS=Mus musculus GN=Psmb2 PE=3 SV=1	23 kDa	1
A2AA77	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip) OS=Mus musculus GN=Sdhb PE=4 SV=1	32 kDa	1
A2AB79	Histone H2A OS=Mus musculus GN=Hist3h2a PE=2 SV=1	14 kDa	1
A2AE04	Eukaryotic translation initiation factor 3, subunit 1 OS=Mus musculus GN=Eif3i PE=4 SV=1	36 kDa	1
A2AER7	Polyglutamine binding protein 1 OS=Mus musculus GN=Pqbp1 PE=2 SV=1	31 kDa	1
A2AGP7	Ortholog of human family with sequence similarity 20, member A FAM20A OS=Mus musculus GN=Fam20a PE=4 SV=1	62 kDa	1
A2AKT7	Exportin 1, CRM1 homolog (Yeast) OS=Mus musculus GN=Xpo1 PE=4 SV=1	123 kDa	1
A2AQW5	PRP40 pre-mRNA processing factor 40 homolog A (Yeast) OS=Mus musculus GN=Prpf40a PE=4 SV=1	108 kDa	1
A2AUD6	Tumor protein D52-like 2 OS=Mus musculus GN=Tpd52l2 PE=4 SV=1	24 kDa	1
A3KG50	Ubiquitin-conjugating enzyme E2 J1 OS=Mus musculus GN=Ube2j1 PE=4 SV=1	35 kDa	1
A8C1T7	Cysteine-rich with EGF-like domains 1 OS=Mus musculus GN=Creld1 PE=2 SV=1	46 kDa	1
A8Y5N2	Dehydrogenase/reductase (SDR family) member 8, isoform CRA_a OS=Mus musculus GN=Hsd17b11 PE=3 SV=1	25 kDa	1
B1AS53	Cytidine 5'-triphosphate synthase OS=Mus musculus GN=Ctps PE=3 SV=1	67 kDa	1
B1ASF2	Pumilio 1 (Drosophila) OS=Mus musculus GN=Pum1 PE=4 SV=1	127 kDa	1
B1AT42	Neuropilin 2 OS=Mus musculus GN=Nrp2 PE=4 SV=1	102 kDa	1
B2KF41	MCG21131, isoform CRA_d OS=Mus musculus GN=Srsf3 PE=4 SV=1	19 kDa	1
B2KGB6	Transmembrane protein 93 OS=Mus musculus GN=Tmem93 PE=4 SV=1	12 kDa	1
B2RSC8	E3 ubiquitin-protein ligase OS=Mus musculus GN=Nedd4 PE=2 SV=1	103 kDa	1
B2RTM0	Histone H4 OS=Mus musculus GN=Gm11275 PE=3 SV=1	11 kDa	1
B7ZCL8	55 kDa erythrocyte membrane protein OS=Mus musculus GN=Mpp1 PE=4 SV=1	50 kDa	1
B8JK30	Heterogeneous nuclear ribonucleoprotein M OS=Mus musculus GN=Hnrnpm PE=4 SV=1	78 kDa	1
D3YU45	Protein Gm3940 OS=Mus musculus GN=Gm3940 PE=3 SV=1	16 kDa	1
D3YXK2	Scaffold attachment factor B1 OS=Mus musculus GN=Safb PE=1 SV=2	105 kDa	1
D3Z3F1	Pre-mRNA 3'-end-processing factor FIP1 OS=Mus musculus GN=Fip1l1 PE=4 SV=1	66 kDa	1
D3Z3R2	Uncharacterized protein OS=Mus musculus GN=Gm10268 PE=3 SV=2	21 kDa	1
D3Z7P3	Isoform 2 of Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls	66 kDa	1
E9PUQ5	Golgin subfamily A member 2 OS=Mus musculus GN=Golga2 PE=4 SV=1	116 kDa	1
E9PUT6	Protein AI316807 OS=Mus musculus GN=AI316807 PE=4 SV=1	13 kDa	1
E9PV22	Leucine-rich repeat-containing protein 47 OS=Mus musculus GN=Lrrc47 PE=4 SV=1	66 kDa	1
E9PVM4	Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus GN=Hnrnpk PE=4 SV=1	51 kDa	1
E9PVN6	Uncharacterized protein OS=Mus musculus PE=4 SV=1	20 kDa	1
E9PWE8	Dihydropyrimidinase-related protein 3 OS=Mus musculus GN=Dpysl3 PE=4 SV=1	74 kDa	1
